config,workload,ramulator.normalized_ipc,nrh
PARA500,502.gcc,0.9939210029923478,500
PARA250,502.gcc,0.9880863012841359,250
PARA125,502.gcc,0.968508706712768,125
Baseline0,511.povray,1.0,0
CoMeT125,511.povray,1.0,125
CoMeT250,511.povray,1.0,250
CoMeT500,511.povray,1.0,500
CoMeT1000,511.povray,1.0,1000
Graphene1000,511.povray,1.0,1000
Graphene500,511.povray,1.0,500
Graphene250,511.povray,1.0,250
Graphene125,511.povray,1.0,125
Hydra1000,511.povray,1.0,1000
Hydra500,511.povray,1.0,500
Hydra250,511.povray,1.0,250
Hydra125,511.povray,1.0,125
REGA1000,511.povray,1.0,1000
REGA500,511.povray,0.9999994336222788,500
REGA250,511.povray,1.0000710450357395,250
REGA125,511.povray,0.9999334145584027,125
PARA1000,511.povray,0.9999943362516579,1000
PARA500,511.povray,0.9999943362516579,500
PARA250,511.povray,0.999941990071613,250
PARA125,511.povray,0.999941990071613,125
Baseline0,ycsb_dserver,1.0,0
CoMeT125,ycsb_dserver,0.9996298345344946,125
CoMeT250,ycsb_dserver,1.0,250
CoMeT500,ycsb_dserver,1.0,500
CoMeT1000,ycsb_dserver,1.0,1000
Graphene1000,ycsb_dserver,1.0,1000
Graphene500,ycsb_dserver,1.0,500
Graphene250,ycsb_dserver,1.0,250
Graphene125,ycsb_dserver,0.9998098407128507,125
Hydra1000,ycsb_dserver,1.0,1000
Hydra500,ycsb_dserver,1.0,500
Hydra250,ycsb_dserver,1.0,250
Hydra125,ycsb_dserver,0.993456872177261,125
REGA1000,ycsb_dserver,1.0,1000
REGA500,ycsb_dserver,0.9976813249149693,500
REGA250,ycsb_dserver,0.9854685219478233,250
REGA125,ycsb_dserver,0.9477092789920253,125
PARA1000,ycsb_dserver,0.9780625709818707,1000
PARA500,ycsb_dserver,0.9548974075056174,500
PARA250,ycsb_dserver,0.9079091417928079,250
PARA125,ycsb_dserver,0.7981243931152554,125
Baseline0,510.parest,1.0,0
CoMeT125,510.parest,1.0,125
CoMeT250,510.parest,1.0,250
CoMeT500,510.parest,1.0,500
CoMeT1000,510.parest,1.0,1000
Graphene1000,510.parest,1.0,1000
Graphene500,510.parest,1.0,500
Graphene250,510.parest,1.0,250
Graphene125,510.parest,1.0,125
Hydra1000,510.parest,1.0,1000
Hydra500,510.parest,1.0,500
Hydra250,510.parest,1.0,250
Hydra125,510.parest,1.0,125
REGA1000,510.parest,1.0,1000
REGA500,510.parest,1.0001072515296563,500
REGA250,510.parest,0.9996802299423077,250
REGA125,510.parest,0.9989975405950621,125
PARA1000,510.parest,0.9995922420396695,1000
PARA500,510.parest,0.9990355859662267,500
PARA250,510.parest,0.9982293098258321,250
PARA125,510.parest,0.9948659677142864,125
Baseline0,500.perlbench,1.0,0
CoMeT125,500.perlbench,0.9993972720880673,125
CoMeT250,500.perlbench,1.0,250
CoMeT500,500.perlbench,1.0,500
CoMeT1000,500.perlbench,1.0,1000
Graphene1000,500.perlbench,1.0,1000
Graphene500,500.perlbench,1.0,500
Graphene250,500.perlbench,1.0,250
Graphene125,500.perlbench,0.9991707163924101,125
Hydra1000,500.perlbench,1.0,1000
Hydra500,500.perlbench,1.0,500
Hydra250,500.perlbench,0.998980784766911,250
Hydra125,500.perlbench,0.9850011530460056,125
REGA1000,500.perlbench,1.0,1000
REGA500,500.perlbench,0.9978392740972413,500
REGA250,500.perlbench,0.9885946731598817,250
REGA125,500.perlbench,0.9591778515242372,125
PARA1000,500.perlbench,0.9782870545013022,1000
PARA500,500.perlbench,0.955563095071245,500
PARA250,500.perlbench,0.9075829629622785,250
PARA125,500.perlbench,0.7983632546052657,125
Baseline0,519.lbm,1.0,0
CoMeT125,519.lbm,0.888971441978847,125
CoMeT250,519.lbm,0.9413391787325189,250
CoMeT500,519.lbm,0.9709081970538191,500
CoMeT1000,519.lbm,0.9893098445419413,1000
Graphene1000,519.lbm,0.993648407592897,1000
Graphene500,519.lbm,0.9825400267681679,500
Graphene250,519.lbm,0.9602835490244466,250
Graphene125,519.lbm,0.918331949801444,125
Hydra1000,519.lbm,0.9634730628687583,1000
Hydra500,519.lbm,0.9494465760465125,500
Hydra250,519.lbm,0.9323564124109717,250
Hydra125,519.lbm,0.9048613430950185,125
REGA1000,519.lbm,1.0,1000
REGA500,519.lbm,0.9384853809400483,500
REGA250,519.lbm,0.7641436311707425,250
REGA125,519.lbm,0.528838922088015,125
PARA1000,519.lbm,0.8738011314547733,1000
PARA500,519.lbm,0.7679115783187446,500
PARA250,519.lbm,0.5972350315133135,250
PARA125,519.lbm,0.35649356318193987,125
Baseline0,ycsb_cserver,1.0,0
CoMeT125,ycsb_cserver,1.0,125
CoMeT250,ycsb_cserver,1.0,250
CoMeT500,ycsb_cserver,1.0,500
CoMeT1000,ycsb_cserver,1.0,1000
Graphene1000,ycsb_cserver,1.0,1000
Graphene500,ycsb_cserver,1.0,500
Graphene250,ycsb_cserver,1.0,250
Graphene125,ycsb_cserver,1.0,125
Hydra1000,ycsb_cserver,1.0,1000
Hydra500,ycsb_cserver,1.0,500
Hydra250,ycsb_cserver,0.9984809613763652,250
Hydra125,ycsb_cserver,0.9810206797982265,125
REGA1000,ycsb_cserver,1.0,1000
REGA500,ycsb_cserver,0.9964256689285479,500
REGA250,ycsb_cserver,0.9833228555173666,250
REGA125,ycsb_cserver,0.9424713853267743,125
PARA1000,ycsb_cserver,0.9693711095369352,1000
PARA500,ycsb_cserver,0.938925975366506,500
PARA250,ycsb_cserver,0.8754565558367148,250
PARA125,ycsb_cserver,0.7394497700456866,125
Baseline0,483.xalancbmk,1.0,0
CoMeT125,483.xalancbmk,0.9998699279805716,125
CoMeT250,483.xalancbmk,1.0,250
CoMeT500,483.xalancbmk,1.0,500
CoMeT1000,483.xalancbmk,1.0,1000
Graphene1000,483.xalancbmk,1.0,1000
Graphene500,483.xalancbmk,1.0,500
Graphene250,483.xalancbmk,1.0,250
Graphene125,483.xalancbmk,1.0,125
Hydra1000,483.xalancbmk,1.0,1000
Hydra500,483.xalancbmk,1.0,500
Hydra250,483.xalancbmk,1.0,250
Hydra125,483.xalancbmk,0.9996789755481549,125
REGA1000,483.xalancbmk,1.0,1000
REGA500,483.xalancbmk,0.9975982705851378,500
REGA250,483.xalancbmk,0.9925032771980001,250
REGA125,483.xalancbmk,0.9781587747352618,125
PARA1000,483.xalancbmk,0.9963425085942457,1000
PARA500,483.xalancbmk,0.9926776853775132,500
PARA250,483.xalancbmk,0.9838193952689854,250
PARA125,483.xalancbmk,0.9582561455333062,125
Baseline0,433.milc,1.0,0
CoMeT125,433.milc,0.9490416030000249,125
CoMeT250,433.milc,0.9795860793119219,250
CoMeT500,433.milc,0.9961384694674167,500
CoMeT1000,433.milc,0.9998369448844818,1000
Graphene1000,433.milc,0.999460434603325,1000
Graphene500,433.milc,0.9969997815870494,500
Graphene250,433.milc,0.9911299169640319,250
Graphene125,433.milc,0.9706464965812505,125
Hydra1000,433.milc,0.9916320436690589,1000
Hydra500,433.milc,0.9754216367723818,500
Hydra250,433.milc,0.9558292276156873,250
Hydra125,433.milc,0.9285206760376247,125
REGA1000,433.milc,1.0,1000
REGA500,433.milc,0.973998617844249,500
REGA250,433.milc,0.872253140776817,250
REGA125,433.milc,0.6308894321248912,125
PARA1000,433.milc,0.9385823235597924,1000
PARA500,433.milc,0.8795930867756607,500
PARA250,433.milc,0.7652189113319411,250
PARA125,433.milc,0.5447238387966209,125
Baseline0,541.leela,1.0,0
CoMeT125,541.leela,1.0,125
CoMeT250,541.leela,1.0,250
CoMeT500,541.leela,1.0,500
CoMeT1000,541.leela,1.0,1000
