config,workload,total_energy,nrh,baseline_energy,normalized_energy
PARA,436.cactusADM,9179207.9625,250,8252168.935875,1.1123388328364006
PARA,436.cactusADM,10750510.8091875,125,8252168.935875,1.3027497246755761
Baseline,wc_8443,12450323.395499997,0,12450323.395499997,1.0
CoMeT,wc_8443,12634911.483187499,125,12450323.395499997,1.0148259673121598
CoMeT,wc_8443,12534490.532999998,250,12450323.395499997,1.00676023704978
CoMeT,wc_8443,12474620.064187499,500,12450323.395499997,1.0019514889626309
CoMeT,wc_8443,12450323.395499997,1000,12450323.395499997,1.0
Graphene,wc_8443,12451091.642249998,1000,12450323.395499997,1.0000617049634453
Graphene,wc_8443,12486623.465812499,500,12450323.395499997,1.0029155925640953
Graphene,wc_8443,12510217.937812502,250,12450323.395499997,1.004810681651382
Graphene,wc_8443,12597212.974125,125,12450323.395499997,1.0117980532680857
Hydra,wc_8443,12511724.826,1000,12450323.395499997,1.0049317137032918
Hydra,wc_8443,12588516.032062499,500,12450323.395499997,1.0110995218495649
Hydra,wc_8443,12602117.828812499,250,12450323.395499997,1.0121920072668447
Hydra,wc_8443,12656554.113562502,125,12450323.395499997,1.0165642860439308
REGA,wc_8443,12730705.225499997,1000,12450323.395499997,1.0225200439453115
REGA,wc_8443,13621966.2315,500,12450323.395499997,1.0941054138741069
REGA,wc_8443,16307042.634937499,250,12450323.395499997,1.3097685993306376
REGA,wc_8443,24684111.353250004,125,12450323.395499997,1.982608047126852
PARA,wc_8443,12690632.513812501,1000,12450323.395499997,1.019301435848595
PARA,wc_8443,12955840.5031875,500,12450323.395499997,1.0406027290720992
PARA,wc_8443,13569175.795125,250,12450323.395499997,1.089865328319857
PARA,wc_8443,15403372.7353125,125,12450323.395499997,1.2371865570078158
Baseline,ycsb_bserver,9070998.9241875,0,9070998.9241875,1.0
CoMeT,ycsb_bserver,9070968.231375,125,9070998.9241875,0.999996616380097
CoMeT,ycsb_bserver,9070998.9241875,250,9070998.9241875,1.0
CoMeT,ycsb_bserver,9070998.9241875,500,9070998.9241875,1.0
CoMeT,ycsb_bserver,9070998.9241875,1000,9070998.9241875,1.0
Graphene,ycsb_bserver,9070998.9241875,1000,9070998.9241875,1.0
Graphene,ycsb_bserver,9070998.9241875,500,9070998.9241875,1.0
Graphene,ycsb_bserver,9070998.9241875,250,9070998.9241875,1.0
Graphene,ycsb_bserver,9071244.3241875,125,9070998.9241875,1.0000270532498186
Hydra,ycsb_bserver,9070998.9241875,1000,9070998.9241875,1.0
Hydra,ycsb_bserver,9070998.9241875,500,9070998.9241875,1.0
Hydra,ycsb_bserver,9081191.1905625,250,9070998.9241875,1.0011236101404248
Hydra,ycsb_bserver,9220410.681000002,125,9070998.9241875,1.0164713674933972
REGA,ycsb_bserver,9189111.849187499,1000,9070998.9241875,1.013020939147623
REGA,ycsb_bserver,9476273.787749998,500,9070998.9241875,1.0446780852858275
REGA,ycsb_bserver,10327254.214499999,250,9070998.9241875,1.1384913944772652
REGA,ycsb_bserver,13165489.008374998,125,9070998.9241875,1.451382490330771
PARA,ycsb_bserver,9242365.7540625,1000,9070998.9241875,1.018891726402707
PARA,ycsb_bserver,9427096.214625,500,9070998.9241875,1.0392566787201327
PARA,ycsb_bserver,9853324.273124998,250,9070998.9241875,1.0862446744262593
PARA,ycsb_bserver,11019394.306499999,125,9070998.9241875,1.2147939161493198
Baseline,437.leslie3d,17917314.483,0,17917314.483,1.0
CoMeT,437.leslie3d,19377761.9255625,125,17917314.483,1.081510398444375
CoMeT,437.leslie3d,18590644.131375,250,17917314.483,1.037579830895632
CoMeT,437.leslie3d,18118907.525999997,500,17917314.483,1.011251297910257
CoMeT,437.leslie3d,17958345.054,1000,17917314.483,1.0022899955815885
Graphene,437.leslie3d,17932565.507625,1000,17917314.483,1.0008511892024594
Graphene,437.leslie3d,18045659.7781875,500,17917314.483,1.0071631993348822
Graphene,437.leslie3d,18221741.468062498,250,17917314.483,1.016990659250377
